Region;ID;on ETSource;Province
GM0003_Appingedam;14492;no;Groningen
GM0010_Delfzijl;14549;no;Groningen
GM0014_Groningen;14597;yes;Groningen
GM0024_Loppersum;14675;no;Groningen
GM0034_Almere;14484;yes;Flevoland
GM0037_Stadskanaal;14776;no;Groningen
GM0047_Veendam;14806;no;Groningen
GM0050_Zeewolde;14853;yes;Flevoland
GM0059_Achtkarspelen;14479;yes;Friesland
GM0060_Ameland;14487;yes;Friesland
GM0072_Harlingen;14610;no;Friesland
GM0074_Heerenveen;14615;no;Friesland
GM0080_Leeuwarden;14660;yes;Friesland
GM0085_Ooststellingwerf;14723;no;Friesland
GM0086_Opsterland;14726;no;Friesland
GM0088_Schiermonnikoog;14759;yes;Friesland
GM0090_Smallingerland;14772;no;Friesland
GM0093_Terschelling;14787;no;Friesland
GM0096_Vlieland;14817;no;Friesland
GM0098_Weststellingwerf;14836;no;Friesland
GM0106_Assen;14494;no;Drenthe
GM0109_Coevorden;14536;no;Drenthe
GM0114_Emmen;14575;no;Drenthe
GM0118_Hoogeveen;14633;no;Drenthe
GM0119_Meppel;14686;no;Drenthe
GM0141_Almelo;14483;yes;Overijssel
GM0147_Borne;14522;yes;Overijssel
GM0148_Dalfsen;14541;yes;Overijssel
GM0150_Deventer;14553;yes;Overijssel
GM0153_Enschede;14577;yes;Overijssel
GM0158_Haaksbergen;14600;yes;Overijssel
GM0160_Hardenberg;14606;yes;Overijssel
GM0163_Hellendoorn;14620;yes;Overijssel
GM0164_Hengelo;14624;yes;Overijssel
GM0166_Kampen;14642;yes;Overijssel
GM0168_Losser;14676;yes;Overijssel
GM0171_Noordoostpolder;14706;yes;Flevoland
GM0173_Oldenzaal;14717;yes;Overijssel
GM0175_Ommen;14719;yes;Overijssel
GM0177_Raalte;14739;yes;Overijssel
GM0180_Staphorst;14777;yes;Overijssel
GM0183_Tubbergen;14793;yes;Overijssel
GM0184_Urk;14800;yes;Flevoland
GM0189_Wierden;14838;yes;Overijssel
GM0193_Zwolle;14864;yes;Overijssel
GM0197_Aalten;14478;no;Gelderland
GM0200_Apeldoorn;14491;no;Gelderland
GM0202_Arnhem;14493;no;Gelderland
GM0203_Barneveld;14499;no;Gelderland
GM0209_Beuningen;14513;no;Gelderland
GM0213_Brummen;14529;no;Gelderland
GM0214_Buren;14533;no;Gelderland
GM0216_Culemborg;14540;no;Gelderland
GM0221_Doesburg;14556;no;Gelderland
GM0222_Doetinchem;14557;no;Gelderland
GM0225_Druten;14564;no;Gelderland
GM0226_Duiven;14565;no;Gelderland
GM0228_Ede;14568;no;Gelderland
GM0230_Elburg;14574;no;Gelderland
GM0232_Epe;14578;no;Gelderland
GM0233_Ermelo;14579;no;Gelderland
GM0243_Harderwijk;14607;no;Gelderland
GM0244_Hattem;14611;no;Gelderland
GM0246_Heerde;14614;no;Gelderland
GM0252_Heumen;14626;no;Gelderland
GM0262_Lochem;14672;no;Gelderland
GM0263_Maasdriel;14677;no;Gelderland
GM0267_Nijkerk;14701;no;Gelderland
GM0268_Nijmegen;14702;no;Gelderland
GM0269_Oldebroek;14716;no;Gelderland
GM0273_Putten;14738;no;Gelderland
GM0274_Renkum;14741;no;Gelderland
GM0275_Rheden;14744;no;Gelderland
GM0277_Rozendaal;14754;no;Gelderland
GM0279_Scherpenzeel;14757;yes;Gelderland
GM0281_Tiel;14791;no;Gelderland
GM0285_Voorst;14821;no;Gelderland
GM0289_Wageningen;14826;no;Gelderland
GM0293_Westervoort;14834;no;Gelderland
GM0294_Winterswijk;14843;no;Gelderland
GM0296_Wijchen;14839;no;Gelderland
GM0297_Zaltbommel;14850;no;Gelderland
GM0299_Zevenaar;14855;no;Gelderland
GM0301_Zutphen;14861;no;Gelderland
GM0302_Nunspeet;14710;no;Gelderland
GM0303_Dronten;14563;yes;Flevoland
GM0307_Amersfoort;14488;yes;Utrecht
GM0308_Baarn;14497;yes;Utrecht
GM0310_De_Bilt;14543;yes;Utrecht
GM0312_Bunnik;14531;yes;Utrecht
GM0313_Bunschoten;14532;yes;Utrecht
GM0317_Eemnes;14569;yes;Utrecht
GM0321_Houten;14637;yes;Utrecht
GM0327_Leusden;14667;yes;Utrecht
GM0331_Lopik;14674;yes;Utrecht
GM0335_Montfoort;14694;yes;Utrecht
GM0339_Renswoude;14742;yes;Utrecht
GM0340_Rhenen;14745;yes;Utrecht
GM0342_Soest;14773;yes;Utrecht
GM0344_Utrecht;14801;yes;Utrecht
GM0345_Veenendaal;14807;yes;Utrecht
GM0351_Woudenberg;14847;yes;Utrecht
